temperature,humidity,pressure,vibration,power_consumption,noise_level,target,target_name
31.28,53.03,1004.84,1.331,139.03,60.74,1,warning
23.27,57.55,1015.5,1.325,85.34,50.22,0,normal
30.05,45.41,1018.39,1.155,99.42,31.84,0,normal
51.28,89.01,1016.76,1.109,243.45,95.2,2,critical
33.45,62.48,1012.55,1.438,176.81,63.02,1,warning
23.19,59.9,1014.95,0.129,191.15,71.18,1,warning
34.58,67.99,1000.14,0.469,141.42,64.71,1,warning
55.0,92.08,991.11,3.033,203.71,91.9,2,critical
31.91,66.84,1014.93,0.099,174.08,63.26,1,warning
41.96,67.5,1012.31,4.969,155.21,45.45,1,warning
55.13,100.0,988.74,1.428,181.82,97.19,2,critical
40.91,75.85,1013.6,1.902,149.47,52.95,1,warning
24.98,64.8,1013.39,0.442,87.08,37.8,0,normal
24.59,52.0,1002.15,0.765,124.43,33.1,0,normal
50.69,67.25,996.55,4.03,174.46,65.99,2,critical
28.47,52.57,1014.57,0.103,101.46,44.84,0,normal
27.74,53.04,1014.33,0.937,97.49,41.41,0,normal
50.03,91.35,999.75,0.557,185.21,94.44,2,critical
19.98,39.27,1008.04,0.019,100.9,52.32,0,normal
35.8,59.72,1020.13,2.113,132.68,63.77,1,warning
34.46,74.48,997.43,1.559,127.46,61.47,1,warning
22.55,70.92,1007.97,0.558,81.79,43.85,0,normal
32.37,76.59,1006.91,0.239,157.35,74.71,1,warning
25.88,52.83,1009.03,0.122,122.96,46.09,0,normal
33.23,69.07,1011.83,4.386,173.46,62.96,1,warning
23.12,68.12,1016.54,0.803,91.56,34.56,0,normal
24.76,45.35,1017.43,0.883,101.44,37.69,0,normal
53.98,81.92,1006.31,5.581,199.29,78.26,2,critical
37.47,79.61,995.4,0.3,191.48,52.64,1,warning
26.67,60.44,1015.63,0.405,75.89,40.92,0,normal
52.08,80.69,984.87,0.158,141.12,76.67,2,critical
37.56,73.17,1009.74,2.957,167.66,59.38,1,warning
26.08,55.57,1011.95,0.127,84.33,30.17,0,normal
31.18,38.07,1012.8,0.196,97.41,48.56,0,normal
24.79,54.85,1009.14,0.538,110.83,34.35,0,normal
23.01,58.52,1009.04,0.013,98.28,36.14,0,normal
28.64,51.42,1024.6,0.047,105.9,37.36,0,normal
24.04,54.24,1015.61,0.538,91.39,54.83,0,normal
38.54,72.33,1017.63,2.575,155.74,60.47,1,warning
29.6,43.51,1015.4,1.064,97.49,40.73,0,normal
23.77,46.33,1009.47,0.053,94.18,40.85,0,normal
26.59,24.74,1013.32,0.079,90.86,39.07,0,normal
63.61,76.13,975.08,1.535,197.5,65.5,2,critical
26.18,48.11,1015.77,0.053,74.61,39.51,0,normal
25.77,59.83,1021.33,0.096,115.22,39.21,0,normal
32.69,69.54,1000.83,0.056,160.93,60.05,1,warning
24.28,62.09,1015.69,0.349,96.03,53.6,0,normal
26.55,42.01,1012.18,2.884,138.6,40.3,0,normal
66.1,93.19,1003.74,4.349,231.35,97.69,2,critical
42.84,64.74,1009.89,0.129,101.52,67.07,1,warning
25.8,58.9,1013.41,1.399,115.98,46.12,0,normal
27.0,43.01,1012.96,0.399,114.63,39.26,0,normal
26.84,39.47,1009.88,1.013,128.71,42.74,0,normal
22.24,65.5,1009.08,1.293,95.17,38.22,0,normal
26.04,46.04,1011.55,0.206,97.58,42.02,0,normal
33.48,81.99,994.5,1.772,140.22,51.04,1,warning
18.63,44.74,1009.2,1.832,102.26,30.44,0,normal
25.15,50.41,1009.49,0.472,90.06,45.75,0,normal
48.81,92.45,1003.92,10.724,166.08,86.23,2,critical
28.02,44.23,1017.18,0.714,83.05,36.38,0,normal
40.38,51.01,1010.63,1.665,165.07,63.05,1,warning
35.7,52.32,1012.59,0.6,147.05,68.26,1,warning
27.62,50.09,1011.17,0.128,84.07,42.37,0,normal
19.49,55.08,1007.48,0.459,67.71,44.18,0,normal
39.14,69.93,1020.5,0.16,146.6,56.37,1,warning
45.98,87.11,1004.41,6.711,192.97,73.01,2,critical
24.51,44.66,1012.97,1.2,112.34,33.9,0,normal
23.97,46.29,1005.96,0.516,88.33,38.19,0,normal
21.16,47.63,1022.36,0.051,51.38,34.88,0,normal
22.89,46.72,1011.04,0.852,78.05,26.72,0,normal
40.6,77.84,1008.96,1.234,171.55,64.74,2,critical
35.08,79.55,1001.74,0.129,166.5,53.06,1,warning
18.58,43.71,1015.99,0.361,91.83,40.55,0,normal
26.62,40.79,1013.85,0.051,78.79,47.92,0,normal
40.22,93.47,1014.06,4.129,199.83,86.69,2,critical
22.84,47.87,1014.55,0.276,122.13,38.49,0,normal
21.96,33.45,1017.12,0.213,101.1,46.35,0,normal
33.94,60.13,1008.95,0.167,151.54,64.1,1,warning
54.0,88.78,1001.14,1.117,222.28,94.17,2,critical
21.61,57.7,1019.34,0.946,112.33,49.48,0,normal
46.27,79.66,1015.08,12.255,196.24,83.28,2,critical
46.06,74.17,991.7,4.542,211.03,59.0,2,critical
25.78,57.82,1006.82,0.647,80.19,43.09,0,normal
27.65,39.91,1005.08,0.158,93.09,45.29,0,normal
38.23,83.51,990.74,3.12,226.91,92.75,2,critical
30.65,63.45,1020.97,1.362,92.33,39.55,0,normal
27.62,64.37,1013.04,0.525,114.31,43.26,0,normal
25.14,62.09,1005.79,1.344,93.3,40.97,0,normal
63.13,94.04,1010.23,9.91,211.81,60.72,2,critical
23.43,54.89,1006.89,0.052,110.69,44.07,0,normal
25.04,49.76,1013.99,0.115,97.83,52.85,0,normal
31.55,46.3,1014.02,0.031,90.23,37.58,0,normal
28.24,76.7,1015.42,1.225,117.98,53.37,1,warning
23.28,58.0,1013.9,0.118,122.15,46.9,0,normal
24.85,56.75,1007.39,2.365,105.74,45.84,0,normal
29.33,67.82,988.89,1.036,198.25,66.28,1,warning
25.15,78.93,1000.31,0.425,164.62,47.79,1,warning
25.89,60.05,1011.74,0.763,124.21,42.27,0,normal
55.33,88.37,1012.58,1.086,181.48,67.01,2,critical
33.42,65.73,1005.67,0.578,154.01,69.19,1,warning
55.21,75.9,996.98,8.161,199.8,82.69,2,critical
22.95,44.9,1000.58,0.494,93.32,47.27,0,normal
37.41,66.29,1026.83,4.243,163.41,51.43,1,warning
26.09,55.71,1017.85,0.089,80.2,49.16,0,normal
24.12,62.48,1009.63,0.489,104.18,51.11,0,normal
23.64,25.76,1005.08,0.594,111.41,41.86,0,normal
39.96,82.19,1040.27,5.175,208.87,64.83,2,critical
35.26,67.94,1004.8,0.511,142.5,57.46,1,warning
63.91,92.83,1001.28,6.178,175.75,84.8,2,critical
38.68,67.19,1010.54,5.524,160.32,59.12,1,warning
27.34,75.39,1015.62,0.255,97.63,37.87,0,normal
31.17,38.97,1011.89,1.09,95.85,33.3,0,normal
29.86,34.3,1013.37,0.097,90.65,37.22,0,normal
20.12,50.48,1014.3,0.17,86.44,34.3,0,normal
26.77,61.09,1017.1,0.598,107.61,45.04,0,normal
28.16,85.48,1003.91,0.444,143.43,64.83,1,warning
51.0,94.29,987.83,8.217,169.5,77.56,2,critical
22.04,50.29,1017.84,0.38,98.08,35.22,0,normal
28.67,44.17,1013.19,1.729,90.35,44.64,0,normal
26.82,40.56,1014.62,0.017,102.95,43.55,0,normal
24.38,42.89,1009.65,0.016,81.23,47.22,0,normal
24.09,37.07,1010.0,0.038,124.63,45.05,0,normal
25.17,55.3,1012.65,0.187,107.3,25.56,0,normal
22.11,56.86,1018.29,0.249,73.62,44.43,0,normal
64.04,97.58,993.01,0.161,195.47,71.93,2,critical
31.71,66.96,999.23,3.699,133.61,68.22,1,warning
33.76,86.07,1013.93,2.996,164.7,51.69,1,warning
22.18,52.35,1014.26,0.253,83.78,43.08,0,normal
31.29,56.8,1005.11,0.302,149.26,58.24,1,warning
34.68,68.12,1002.46,0.086,156.64,61.52,1,warning
30.37,82.88,1006.62,0.456,183.4,63.16,1,warning
36.05,65.08,1016.46,3.458,130.53,61.89,1,warning
37.9,65.4,1000.92,4.644,138.05,71.38,1,warning
24.29,38.12,1011.23,0.594,100.42,39.95,0,normal
36.68,70.08,1018.03,1.193,186.01,69.91,1,warning
21.49,31.98,1015.71,0.733,111.39,39.85,0,normal
27.01,74.62,1026.19,0.152,122.74,61.3,1,warning
36.47,56.43,1013.73,1.876,149.29,53.53,1,warning
20.87,40.62,1015.58,1.009,107.71,40.12,0,normal
24.27,59.64,1018.95,0.825,81.59,43.61,0,normal
25.4,54.13,1003.35,0.782,115.48,32.57,0,normal
32.46,68.52,1006.37,3.454,179.05,56.83,1,warning
20.73,65.01,1011.39,0.477,96.24,43.21,0,normal
50.11,88.34,1012.7,9.098,212.6,86.07,2,critical
30.22,74.24,1026.5,0.174,128.65,61.53,1,warning
25.61,55.59,1017.36,0.042,78.28,32.96,0,normal
22.54,34.97,1011.7,0.301,96.31,38.64,0,normal
23.36,24.97,1016.42,2.019,96.42,35.46,0,normal
41.32,78.4,1044.24,2.207,237.34,90.49,2,critical
25.63,30.4,1006.36,1.746,102.95,41.09,0,normal
36.33,64.17,990.49,2.003,147.31,64.18,1,warning
38.63,75.16,1004.87,2.8,158.64,65.58,1,warning
40.43,70.98,1012.46,0.267,142.17,54.68,1,warning
28.22,39.73,1013.66,0.212,89.5,37.6,0,normal
23.45,52.24,1012.92,0.328,117.83,46.03,0,normal
24.71,40.67,1016.77,2.804,100.57,40.6,0,normal
33.55,84.11,1006.76,1.294,120.98,59.9,1,warning
28.45,32.6,1011.19,1.744,83.2,44.04,0,normal
51.06,87.89,1005.08,3.319,232.89,73.74,2,critical
25.99,59.76,1010.6,0.186,97.22,45.9,0,normal
34.05,66.43,1008.56,1.582,177.46,55.49,1,warning
26.21,46.52,1017.15,0.861,95.95,35.11,0,normal
28.61,58.51,1009.9,0.69,92.04,37.12,0,normal
24.05,57.59,1009.14,0.432,96.45,39.8,0,normal
40.38,70.21,1025.21,9.872,148.79,56.81,1,warning
24.96,34.09,1015.82,0.799,93.31,30.55,0,normal
55.54,95.68,1009.45,0.199,211.6,90.91,2,critical
30.0,63.22,1014.11,4.099,153.59,65.79,1,warning
58.09,95.73,988.86,5.052,185.44,67.94,2,critical
21.71,35.6,1020.97,0.246,87.3,32.24,0,normal
38.34,57.88,1016.67,4.755,163.45,75.2,1,warning
50.26,78.93,996.54,6.695,172.27,73.57,2,critical
23.09,61.89,1020.1,0.595,91.44,41.72,0,normal
44.88,54.36,1022.94,0.664,152.09,66.23,1,warning
23.87,42.95,1009.48,0.385,123.21,48.98,0,normal
39.72,83.94,1002.65,3.544,191.01,79.5,2,critical
36.21,75.21,1010.05,1.082,128.75,63.43,1,warning
24.91,46.64,1019.73,0.011,104.62,31.45,0,normal
32.28,68.37,1010.33,0.623,129.96,47.8,1,warning
25.26,48.44,1018.84,0.075,103.82,37.03,0,normal
21.85,30.66,1006.96,0.569,114.76,38.93,0,normal
21.64,34.01,1010.97,0.919,132.36,36.97,0,normal
48.26,82.53,1036.4,1.408,212.99,78.54,2,critical
26.76,46.82,1011.4,0.843,104.35,50.38,0,normal
53.64,91.19,984.98,8.495,215.02,80.5,2,critical
18.75,66.96,1014.06,0.721,98.55,44.86,0,normal
24.13,33.5,1012.75,1.023,111.58,25.76,0,normal
29.15,55.64,1015.97,1.556,112.8,38.74,0,normal
25.17,52.69,1020.64,0.835,107.62,35.73,0,normal
40.82,72.65,1015.14,3.536,153.79,68.01,1,warning
34.34,60.25,1018.86,1.582,147.59,62.02,1,warning
31.85,68.45,1015.61,4.731,144.71,43.97,1,warning
28.75,76.05,1017.06,2.61,140.96,58.77,1,warning
38.55,82.66,1007.05,3.614,174.72,51.43,1,warning
32.76,82.81,1010.54,0.344,167.06,67.86,1,warning
25.3,33.7,1015.76,0.404,115.44,42.36,0,normal
33.88,66.51,1009.84,0.717,143.94,47.15,1,warning
25.09,52.51,1012.99,0.953,101.23,39.51,0,normal
42.63,76.97,1003.11,4.627,202.08,79.17,2,critical
24.08,63.14,1006.93,0.793,83.62,38.42,0,normal
22.35,55.74,1004.23,0.323,107.4,40.92,0,normal
56.49,75.81,1012.28,1.876,246.14,86.56,2,critical
37.98,72.71,1012.43,1.557,129.87,69.12,1,warning
37.31,69.96,1028.06,6.056,211.69,80.0,2,critical
41.41,75.58,1001.11,3.333,154.93,49.61,1,warning
39.96,75.46,1003.28,3.497,145.22,57.07,1,warning
41.85,58.44,1010.52,2.986,149.49,45.85,1,warning
29.1,81.88,1006.28,0.384,154.02,56.78,1,warning
38.4,81.93,995.77,1.108,156.39,65.52,1,warning
26.13,82.62,1002.75,2.869,136.92,61.92,1,warning
16.91,49.46,1011.85,0.434,110.44,34.91,0,normal
27.62,31.36,1008.49,0.232,103.37,45.24,0,normal
36.15,91.05,1001.1,1.996,182.8,65.94,1,warning
65.94,78.87,991.76,2.934,225.79,73.1,2,critical
50.14,73.59,1011.72,3.346,197.58,71.67,2,critical
50.6,94.54,998.2,0.322,184.51,78.04,2,critical
48.16,84.65,977.03,2.991,215.43,78.9,2,critical
31.87,39.56,1011.96,1.088,79.5,38.88,0,normal
24.66,74.52,1000.08,0.659,151.65,48.34,1,warning
24.75,61.17,1014.71,0.737,106.85,42.3,0,normal
25.81,37.23,1007.59,1.291,115.8,45.65,0,normal
26.91,62.9,1011.69,0.064,97.4,40.08,0,normal
36.12,79.33,998.65,2.379,114.78,69.33,1,warning
25.48,50.03,1015.18,0.183,117.86,42.5,0,normal
21.68,63.89,999.7,0.291,118.69,29.63,0,normal
26.78,46.9,1014.63,0.274,81.23,33.79,0,normal
34.33,70.3,1014.87,0.712,150.02,53.46,1,warning
27.76,47.1,1014.34,0.78,104.83,37.46,0,normal
58.42,77.02,994.24,3.606,207.51,56.91,2,critical
22.21,62.68,1001.81,0.725,163.59,50.81,1,warning
27.42,53.84,1001.15,0.024,107.76,36.37,0,normal
38.28,78.34,1006.58,4.732,143.3,56.77,1,warning
65.48,85.56,990.4,1.696,169.12,66.47,2,critical
25.14,67.82,1015.95,1.279,88.14,42.36,0,normal
34.9,67.37,1010.18,2.264,160.94,68.43,1,warning
31.53,51.64,1019.37,1.838,170.65,69.01,1,warning
27.79,32.37,1018.72,0.048,98.88,43.1,0,normal
59.6,81.06,971.85,1.243,218.59,67.46,2,critical
21.22,59.18,1023.61,0.272,115.49,36.35,0,normal
50.12,92.22,986.38,8.625,245.58,91.08,2,critical
30.45,48.89,1017.88,0.484,87.4,37.0,0,normal
32.16,51.69,1011.61,3.149,187.47,68.64,1,warning
23.04,42.27,1011.25,1.106,125.31,44.41,0,normal
20.96,40.28,1019.0,0.541,90.15,37.74,0,normal
25.23,37.17,1017.98,0.282,92.59,43.24,0,normal
35.21,75.49,1005.35,4.77,158.52,60.15,1,warning
25.38,53.67,1010.37,0.012,123.48,39.67,0,normal
26.08,65.38,1012.82,0.37,123.47,38.01,0,normal
22.57,60.57,1013.26,0.675,116.25,45.27,0,normal
30.6,54.74,1007.04,0.623,109.85,36.24,0,normal
29.51,58.77,1011.9,0.198,100.4,35.62,0,normal
29.74,44.77,1010.9,0.219,95.77,34.97,0,normal
38.33,74.63,996.19,0.787,136.45,66.91,1,warning
37.61,76.45,1014.44,0.447,151.79,69.33,1,warning
26.09,55.04,1015.91,0.617,88.21,33.34,0,normal
32.3,32.3,1007.84,1.326,105.57,36.98,0,normal
23.93,59.52,1020.26,1.05,112.19,43.15,0,normal
27.23,52.99,1019.51,0.034,123.42,34.04,0,normal
43.84,74.63,993.16,1.182,205.44,76.21,2,critical
39.94,69.24,1007.44,0.319,153.04,51.29,1,warning
26.84,39.77,1011.71,1.014,74.97,44.66,0,normal
30.53,63.63,1017.14,1.862,69.62,40.93,0,normal
43.29,77.91,1008.02,6.937,236.87,78.58,2,critical
37.71,83.28,1004.15,4.429,231.42,91.7,2,critical
25.32,36.66,1009.99,0.419,104.8,46.99,0,normal
34.1,100.0,1012.39,3.453,134.96,70.48,1,warning
41.45,76.73,1008.89,0.019,125.51,66.63,1,warning
37.82,93.9,990.56,0.354,246.01,72.96,2,critical
21.55,53.76,1010.0,0.576,95.62,34.89,0,normal
29.02,74.45,1019.57,1.616,137.8,48.4,1,warning
70.97,76.1,1021.96,1.46,229.91,92.44,2,critical
27.49,27.89,1014.18,0.062,111.56,40.83,0,normal
28.26,54.75,1012.87,0.466,112.27,36.75,0,normal
55.45,86.23,1025.68,0.355,220.5,77.91,2,critical
19.94,53.14,1012.99,0.073,87.94,48.2,0,normal
25.11,47.31,1012.57,0.041,84.98,38.59,0,normal
27.61,46.74,1019.01,0.289,93.88,36.62,0,normal
33.04,60.78,1022.92,2.106,143.55,47.85,1,warning
22.87,44.13,1012.01,0.366,103.51,32.22,0,normal
24.99,43.18,1012.76,0.063,104.84,35.86,0,normal
23.6,50.59,1024.74,0.971,85.28,42.31,0,normal
26.88,41.43,1007.65,1.411,107.24,39.38,0,normal
34.03,66.31,1013.21,3.245,126.6,37.02,1,warning
32.85,70.5,1008.71,2.026,138.76,58.33,1,warning
22.94,72.52,1017.91,0.366,95.13,37.73,0,normal
42.6,87.04,986.57,5.889,187.76,75.27,2,critical
28.65,52.26,1017.24,0.005,104.4,36.43,0,normal
51.8,82.04,998.03,1.497,224.78,96.77,2,critical
24.36,64.91,1013.74,2.058,94.94,37.18,0,normal
42.71,90.06,1026.49,2.257,174.17,55.0,1,warning
34.06,79.86,1019.5,2.541,201.79,53.56,1,warning
30.54,39.3,1005.37,2.067,89.62,44.49,0,normal
46.06,85.13,998.7,4.75,161.23,86.9,2,critical
23.7,46.91,1014.11,0.208,92.82,38.69,0,normal
26.56,65.33,1012.46,0.168,106.03,38.28,0,normal
28.19,45.46,1016.16,0.336,106.44,41.04,0,normal
25.56,42.45,1009.94,0.17,78.9,46.71,0,normal
62.43,91.83,1006.22,16.211,213.9,70.2,2,critical
26.03,32.37,1014.62,0.039,94.22,42.91,0,normal
29.55,65.89,1001.15,4.416,145.7,52.28,1,warning
54.94,93.36,1008.06,7.526,179.1,85.82,2,critical
25.07,54.98,1020.26,0.303,114.39,46.0,0,normal
38.55,65.65,1014.1,2.805,144.81,67.11,1,warning
29.43,44.82,1008.96,1.327,92.47,42.51,0,normal
26.94,71.63,1011.46,0.716,103.29,42.69,0,normal
25.19,39.22,1009.42,0.488,110.19,51.95,0,normal
34.22,70.38,1014.68,0.554,190.47,60.05,1,warning
49.69,83.92,1005.01,1.875,242.94,67.99,2,critical
51.26,93.66,1014.93,3.097,206.9,84.98,2,critical
25.99,58.34,1003.03,0.202,105.61,43.47,0,normal
35.29,63.53,1009.53,3.086,137.08,53.61,1,warning
39.95,91.51,995.82,0.365,191.61,85.43,2,critical
58.58,100.0,988.21,11.285,158.57,91.07,2,critical
28.62,69.7,1005.46,1.566,155.07,63.74,1,warning
20.56,51.83,1012.92,0.058,108.69,30.2,0,normal
24.77,44.21,1013.32,0.501,101.83,42.72,0,normal
25.13,48.53,1017.82,0.132,133.16,47.3,0,normal
37.62,64.91,1016.22,2.059,152.53,75.51,1,warning
49.06,87.85,1003.27,7.109,251.0,90.72,2,critical
37.51,73.26,1010.24,5.542,157.99,54.79,1,warning
57.32,80.6,998.25,3.066,180.93,85.42,2,critical
54.59,70.71,994.61,4.346,209.03,68.34,2,critical
38.9,80.5,1003.09,0.099,169.01,73.68,1,warning
38.3,79.38,997.14,0.529,134.75,66.98,1,warning
29.51,73.95,1005.41,2.14,148.0,58.37,1,warning
24.94,38.43,1005.34,0.254,115.34,52.2,0,normal
27.96,61.22,1019.55,0.16,109.75,39.5,0,normal
29.98,46.66,1011.41,0.144,126.48,42.02,0,normal
30.84,47.4,1021.63,0.031,108.37,40.38,0,normal
45.44,89.55,1001.58,0.217,219.51,64.97,2,critical
25.24,30.02,1017.58,0.303,105.2,29.5,0,normal
35.72,84.79,1014.89,1.412,137.55,61.56,1,warning
32.14,71.81,1003.31,1.312,138.72,61.48,1,warning
28.03,33.68,1014.4,0.212,73.32,47.48,0,normal
21.34,43.31,1018.81,1.335,96.73,45.49,0,normal
35.75,71.01,1014.7,0.884,136.31,66.33,1,warning
28.03,44.19,1010.37,0.101,103.63,30.43,0,normal
55.95,85.9,1026.17,0.88,178.71,67.41,2,critical
48.35,79.03,997.35,1.564,153.54,62.98,2,critical
28.84,43.85,1023.56,0.394,97.72,42.94,0,normal
51.49,86.58,987.81,4.886,161.01,88.3,2,critical
23.34,38.02,1022.82,0.02,100.53,42.57,0,normal
27.32,43.97,1005.07,0.065,108.25,35.16,0,normal
25.64,37.54,1013.87,0.422,105.78,41.15,0,normal
30.57,61.57,1008.92,0.498,180.27,65.05,1,warning
43.04,98.64,995.49,4.666,182.6,82.39,2,critical
27.23,78.18,1013.01,2.683,131.96,68.6,1,warning
29.86,59.33,1009.19,0.104,88.55,30.98,0,normal
39.37,68.75,1000.62,7.925,172.52,59.59,1,warning
59.37,89.47,997.59,0.916,258.88,80.04,2,critical
22.51,44.4,1016.74,2.329,109.16,31.06,0,normal
31.26,81.45,1005.75,0.654,169.06,64.1,1,warning
29.88,88.54,1019.77,0.252,161.64,69.18,1,warning
25.19,50.89,1021.61,0.57,94.52,40.92,0,normal
24.82,35.81,1018.21,0.355,96.7,41.79,0,normal
31.74,56.22,995.14,1.059,155.34,64.07,1,warning
20.8,55.63,1009.75,0.103,92.69,35.86,0,normal
30.64,69.8,1006.11,2.172,142.83,54.82,1,warning
31.98,78.85,1002.65,7.958,165.89,49.97,1,warning
24.73,64.4,1009.62,0.112,127.01,36.3,0,normal
26.58,61.94,1017.72,0.907,182.31,75.13,1,warning
62.5,82.81,996.35,15.125,191.0,82.62,2,critical
25.53,36.65,1014.9,0.821,109.16,46.43,0,normal
21.48,76.78,1004.77,2.973,113.39,67.09,1,warning
55.04,78.57,1013.43,29.459,181.05,82.89,2,critical
34.16,82.26,1019.26,0.899,148.03,60.15,1,warning
23.69,52.83,1009.46,0.723,114.94,36.22,0,normal
27.48,58.14,1019.53,0.193,100.32,38.8,0,normal
34.38,41.67,1010.14,1.224,138.99,50.23,1,warning
25.84,43.77,1011.96,0.932,92.6,36.89,0,normal
53.28,78.11,1021.05,0.931,220.94,81.51,2,critical
28.15,44.65,1019.59,0.301,102.96,42.01,0,normal
39.62,93.12,996.38,4.99,169.58,80.86,2,critical
23.35,50.48,1009.56,1.379,110.99,39.6,0,normal
59.74,80.89,989.23,4.069,193.08,84.02,2,critical
20.82,41.62,1015.6,0.092,95.18,50.38,0,normal
26.44,49.76,1010.14,0.055,99.95,34.21,0,normal
22.52,46.79,1015.06,0.481,91.54,37.83,0,normal
25.6,44.0,1013.35,1.409,94.22,30.51,0,normal
34.91,66.11,1018.99,2.359,168.95,56.72,1,warning
24.48,46.08,1012.92,0.15,91.81,41.96,0,normal
32.36,75.86,1019.91,2.64,150.43,78.4,1,warning
